Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Z_CostContact,Z_Revenue,Total_kids
58138,58,635,88,546,172,88,88,3,8,10,4,7,3,11,0
46344,38,11,1,6,2,1,6,2,1,1,2,5,3,11,2
71613,26,426,49,127,111,21,42,1,8,2,10,4,3,11,0
26646,26,11,4,20,10,3,5,2,2,0,4,6,3,11,1
58293,94,173,43,118,46,27,15,5,5,3,6,5,3,11,1
62513,16,520,42,98,0,42,14,2,6,4,10,6,3,11,1
55635,34,235,65,164,50,49,27,4,7,3,7,6,3,11,1
33454,32,76,10,56,3,1,23,2,4,0,4,8,3,11,1
30351,19,14,0,24,3,3,2,1,3,0,2,9,3,11,1
5648,68,28,0,6,1,1,13,1,1,0,0,20,3,11,2
7500,59,6,16,11,11,1,16,1,2,0,3,8,3,11,0
63033,82,194,61,480,225,112,30,1,3,4,8,2,3,11,0
59354,53,233,2,53,3,5,14,3,6,1,5,6,3,11,2
17323,38,3,14,17,6,1,5,1,1,0,3,8,3,11,0
82800,23,1006,22,115,59,68,45,1,7,6,12,3,3,11,0
41850,51,53,5,19,2,13,4,3,3,0,3,8,3,11,2
37760,20,84,5,38,150,12,28,2,4,1,6,7,3,11,0
76995,91,1012,80,498,0,16,176,2,11,4,9,5,3,11,1
33812,86,4,17,19,30,24,39,2,2,1,3,6,3,11,1
37040,41,86,2,73,69,38,48,1,4,2,5,8,3,11,0
2447,42,1,1,1725,1,1,1,15,0,28,0,1,3,11,1
58607,63,867,0,86,0,0,19,3,2,3,9,8,3,11,1
65324,0,384,0,102,21,32,5,3,6,2,9,4,3,11,1
40689,69,270,3,27,39,6,99,7,7,1,5,8,3,11,1
18589,89,6,4,25,15,12,13,2,2,1,3,7,3,11,0
53359,4,173,4,30,3,6,41,4,5,1,4,7,3,11,2
38360,26,36,2,42,20,21,10,2,2,1,4,3,3,11,1
84618,96,684,100,801,21,66,0,1,6,9,10,2,3,11,0
10979,34,8,4,10,2,2,4,2,3,0,3,5,3,11,0
38620,56,112,17,44,34,22,89,1,2,5,3,3,3,11,0
40548,31,110,0,5,2,0,3,2,2,1,4,5,3,11,1
46610,8,96,12,96,33,22,43,6,4,1,6,6,3,11,2
68657,4,482,34,471,119,68,22,1,3,5,9,7,3,11,0
49389,55,40,0,19,2,1,3,1,2,0,3,7,3,11,2
67353,37,702,17,151,0,8,35,5,5,6,12,2,3,11,1
23718,76,6,3,14,15,7,36,3,3,1,2,7,3,11,1
42429,99,55,0,6,2,0,4,2,1,1,3,5,3,11,1
48948,53,437,8,206,160,49,42,2,7,10,5,6,3,11,0
80011,3,421,76,536,82,178,102,2,8,6,5,4,3,11,1
20559,88,13,1,29,3,0,7,2,2,0,3,8,3,11,1
21994,4,9,0,6,3,1,3,1,0,0,3,5,3,11,1
7500,19,3,1,10,3,2,12,3,2,0,3,5,3,11,1
79941,72,123,164,266,227,30,174,1,2,4,9,1,3,11,0
7500,24,3,18,14,15,22,50,3,3,1,3,9,3,11,0
41728,92,13,6,15,3,5,13,1,2,0,2,10,3,11,1
72550,39,826,50,317,50,38,38,9,5,2,12,8,3,11,2
65486,29,245,19,125,37,67,14,1,4,2,10,2,3,11,1
79143,2,650,37,780,27,167,32,1,6,9,13,3,3,11,0
35790,54,12,6,20,30,1,3,2,2,0,3,7,3,11,1
82582,54,510,120,550,156,40,241,1,4,9,7,1,3,11,0
66373,57,328,9,124,12,24,109,7,4,2,10,3,3,11,2
82384,55,984,51,432,180,120,190,1,3,10,13,1,3,11,0
70287,30,295,35,482,121,120,40,1,5,5,10,3,3,11,0
27938,31,13,0,8,2,1,5,1,1,0,4,3,3,11,1
55954,63,447,0,28,0,0,43,3,8,2,6,7,3,11,1
75777,12,712,26,538,69,13,80,1,3,6,11,1,3,11,0
66653,18,452,18,102,16,18,6,4,4,2,12,3,3,11,2
61823,26,523,7,134,37,14,169,4,8,2,10,7,3,11,1
67680,8,546,0,48,0,6,6,1,7,3,8,5,3,11,1
70666,29,398,40,367,119,122,30,1,7,4,4,4,3,11,0
25721,75,1,3,6,3,6,15,1,1,1,2,7,3,11,1
32474,0,10,0,1,0,0,0,1,1,0,2,7,3,11,2
88194,19,688,14,309,201,24,38,1,11,10,10,5,3,11,1
69096,4,247,49,159,7,82,109,1,5,2,10,4,3,11,1
74854,90,856,59,487,58,29,73,7,2,5,5,5,3,11,3
66991,1,496,36,460,189,60,12,3,4,8,6,3,3,11,0
65031,29,258,107,291,84,37,86,4,10,3,13,7,3,11,1
60631,88,565,6,65,0,6,19,5,9,2,8,7,3,11,2
28332,58,14,10,13,4,15,9,1,2,1,4,2,3,11,0
40246,68,2,1,6,2,1,1,1,1,0,2,6,3,11,1
75251,34,721,111,925,97,18,18,1,7,6,5,5,3,11,0
75825,40,1032,105,779,137,105,51,0,5,8,9,4,3,11,0
26326,12,1,0,5,0,3,9,1,0,0,3,3,3,11,0
56046,9,577,0,64,0,0,51,2,10,1,8,8,3,11,0
29760,87,64,4,68,7,5,17,4,3,1,4,8,3,11,1
26304,5,4,1,5,2,0,4,1,1,0,2,7,3,11,1
23559,87,25,5,19,7,0,23,3,3,0,3,7,3,11,1
38620,56,112,17,44,34,22,89,1,2,5,3,3,3,11,0
81361,18,163,23,424,27,65,76,1,3,10,13,1,3,11,0
29440,95,17,8,14,10,4,3,2,1,0,4,7,3,11,2
36138,48,130,0,16,0,0,5,5,3,1,4,7,3,11,2
50388,3,292,6,37,0,3,34,4,6,1,6,7,3,11,1
79593,70,350,60,568,110,133,145,1,5,6,7,2,3,11,0
54178,79,135,9,39,4,0,7,1,2,2,5,2,3,11,1
42394,69,15,2,10,0,1,4,1,1,0,3,7,3,11,1
23626,84,27,2,14,0,0,0,3,3,1,3,5,3,11,1
30096,30,5,3,11,12,5,9,1,2,0,3,6,3,11,1
47916,72,505,0,26,0,0,75,5,7,4,6,6,3,11,1
51813,37,51,2,7,0,1,2,2,2,0,3,7,3,11,2
78497,44,207,26,447,75,0,223,1,5,7,12,2,3,11,0
50150,32,135,46,92,65,61,11,2,5,2,7,5,3,11,0
47823,0,53,1,5,2,1,10,2,2,0,3,8,3,11,1
34554,43,41,1,6,2,0,5,2,2,0,3,6,3,11,1
85693,59,386,172,183,185,132,111,2,9,5,11,5,3,11,1
65846,68,562,81,276,80,40,81,1,6,3,6,4,3,11,0
87195,35,217,76,690,50,26,38,1,3,11,5,1,3,11,0
24594,94,1,3,6,10,0,9,1,1,0,3,5,3,11,1
49096,15,144,1,32,2,1,7,4,4,1,4,7,3,11,2
52413,56,295,106,271,75,98,65,4,6,4,12,6,3,11,2
38557,17,76,3,31,4,4,27,2,3,1,3,7,3,11,1
89058,18,454,194,106,31,22,43,1,5,4,4,2,3,11,0
77298,46,425,115,292,23,35,79,1,6,6,11,3,3,11,1
68126,40,1332,17,311,23,51,86,1,7,4,5,9,3,11,0
57288,27,527,0,21,0,0,60,3,8,1,8,6,3,11,1
86037,95,490,44,125,29,20,22,1,6,7,11,3,3,11,0
